locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOFMHOMA_00749	CDS	255	yoeB	3.1.-.-	COG4115	Toxin YoeB
OOFMHOMA_00750	CDS	825	yeeZ		COG0451	Protein YeeZ
OOFMHOMA_00751	CDS	951	yhaJ_1			HTH-type transcriptional regulator YhaJ
OOFMHOMA_00752	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
OOFMHOMA_00753	CDS	1005				hypothetical protein
OOFMHOMA_00754	CDS	228	yeeD		COG0425	Putative sulfur carrier protein YeeD
OOFMHOMA_00755	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
OOFMHOMA_00756	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
OOFMHOMA_00757	CDS	474	sbmC_1		COG3449	DNA gyrase inhibitor
OOFMHOMA_00758	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
OOFMHOMA_00759	CDS	729	gadW			HTH-type transcriptional regulator GadW
OOFMHOMA_00760	CDS	282				hypothetical protein
OOFMHOMA_00761	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
OOFMHOMA_00762	CDS	1158	mdtE			Multidrug resistance protein MdtE
OOFMHOMA_00763	CDS	279				hypothetical protein
OOFMHOMA_00764	CDS	528	gadE			Transcriptional regulator GadE
OOFMHOMA_00765	CDS	573	hdeD		COG3247	Protein HdeD
OOFMHOMA_00766	CDS	333	hdeA			Acid stress chaperone HdeA
OOFMHOMA_00767	CDS	339	hdeB			Acid stress chaperone HdeB
OOFMHOMA_00768	CDS	576	sapB_1		COG1285	Protein SapB
OOFMHOMA_00769	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
OOFMHOMA_00770	CDS	567	slp_1		COG3065	Outer membrane protein Slp
OOFMHOMA_00771	CDS	1146				hypothetical protein
OOFMHOMA_00772	CDS	1014				hypothetical protein
OOFMHOMA_00773	CDS	297				hypothetical protein
OOFMHOMA_00774	CDS	426	arsC	1.20.4.1		Arsenate reductase
OOFMHOMA_00775	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
OOFMHOMA_00776	CDS	354				hypothetical protein
OOFMHOMA_00777	CDS	174				hypothetical protein
OOFMHOMA_00778	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
OOFMHOMA_00779	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
OOFMHOMA_00780	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
OOFMHOMA_00781	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
OOFMHOMA_00782	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
OOFMHOMA_00783	CDS	435	uspA		COG0589	Universal stress protein A
OOFMHOMA_00784	CDS	336	uspB			Universal stress protein B
OOFMHOMA_00785	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
OOFMHOMA_00786	CDS	1203			COG2081	putative protein
OOFMHOMA_00787	CDS	843				hypothetical protein
OOFMHOMA_00788	CDS	2124	tnsB			Transposon Tn7 transposition protein TnsB
OOFMHOMA_00789	CDS	1449				hypothetical protein
OOFMHOMA_00790	CDS	1557				hypothetical protein
OOFMHOMA_00791	CDS	927				hypothetical protein
OOFMHOMA_00792	CDS	300				hypothetical protein
OOFMHOMA_00793	CDS	1827				hypothetical protein
OOFMHOMA_00794	CDS	351				hypothetical protein
OOFMHOMA_00795	CDS	432	silE_1			Silver-binding protein SilE
OOFMHOMA_00796	CDS	1482	cusS_1	2.7.13.3	COG0642	Sensor histidine kinase CusS
OOFMHOMA_00797	CDS	681	cusR_1		COG0745	Transcriptional regulatory protein CusR
OOFMHOMA_00798	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
OOFMHOMA_00799	CDS	354	cusF_1		COG5569	Cation efflux system protein CusF
OOFMHOMA_00800	CDS	1293	cusB_1			Cation efflux system protein CusB
OOFMHOMA_00801	CDS	3147	cusA_1		COG3696	Cation efflux system protein CusA
OOFMHOMA_00802	CDS	441				hypothetical protein
OOFMHOMA_00803	CDS	2448	silP	7.2.2.15		Silver exporting P-type ATPase
OOFMHOMA_00804	CDS	198				hypothetical protein
OOFMHOMA_00805	CDS	738	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
OOFMHOMA_00806	CDS	450	silE_2			Silver-binding protein SilE
OOFMHOMA_00807	CDS	1818	copA_2			Copper resistance protein A
OOFMHOMA_00808	CDS	897	copB			Copper resistance protein B
OOFMHOMA_00809	CDS	381	pcoC		COG2372	Copper resistance protein C
OOFMHOMA_00810	CDS	930	copD			Copper resistance protein D
OOFMHOMA_00811	CDS	681	copR			Transcriptional activator protein CopR
OOFMHOMA_00812	CDS	1401	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
OOFMHOMA_00813	CDS	435	pcoE			putative copper-binding protein PcoE
OOFMHOMA_00814	CDS	1053	yhiM			Inner membrane protein YhiM
OOFMHOMA_00815	CDS	1086				hypothetical protein
OOFMHOMA_00816	CDS	372				hypothetical protein
OOFMHOMA_00817	CDS	195				hypothetical protein
OOFMHOMA_00818	CDS	1341				hypothetical protein
OOFMHOMA_00819	CDS	1068				hypothetical protein
OOFMHOMA_00820	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
OOFMHOMA_00821	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
OOFMHOMA_00822	CDS	360				hypothetical protein
OOFMHOMA_00823	CDS	402	nikR		COG0864	Nickel-responsive regulator
OOFMHOMA_00824	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
OOFMHOMA_00825	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
OOFMHOMA_00826	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
OOFMHOMA_00827	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
OOFMHOMA_00828	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
OOFMHOMA_00829	CDS	588				hypothetical protein
OOFMHOMA_00830	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
OOFMHOMA_00831	CDS	1251	yhhS			putative MFS-type transporter YhhS
OOFMHOMA_00832	CDS	558				hypothetical protein
OOFMHOMA_00833	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
OOFMHOMA_00834	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
OOFMHOMA_00835	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
OOFMHOMA_00836	CDS	627				hypothetical protein
OOFMHOMA_00837	CDS	360				hypothetical protein
OOFMHOMA_00838	CDS	270				hypothetical protein
OOFMHOMA_00839	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
OOFMHOMA_00840	CDS	1494	ftsY		COG0552	Signal recognition particle receptor FtsY
OOFMHOMA_00841	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
OOFMHOMA_00842	CDS	1059	ftsX		COG2177	Cell division protein FtsX
OOFMHOMA_00843	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
OOFMHOMA_00844	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
OOFMHOMA_00845	CDS	384	panZ			PanD regulatory factor
OOFMHOMA_00846	CDS	1110	livK		COG0683	Leucine-specific-binding protein
OOFMHOMA_00847	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
OOFMHOMA_00848	CDS	1278				hypothetical protein
OOFMHOMA_00849	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OOFMHOMA_00850	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
OOFMHOMA_00851	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
OOFMHOMA_00852	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
OOFMHOMA_00853	CDS	846				hypothetical protein
OOFMHOMA_00854	CDS	1071	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
OOFMHOMA_00855	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
OOFMHOMA_00856	CDS	441	yhhA			putative protein YhhA
OOFMHOMA_00857	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
OOFMHOMA_00858	CDS	285				hypothetical protein
OOFMHOMA_00859	CDS	156				hypothetical protein
OOFMHOMA_00860	CDS	495				hypothetical protein
OOFMHOMA_00861	CDS	1179				hypothetical protein
OOFMHOMA_00862	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
OOFMHOMA_00863	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
OOFMHOMA_00864	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
OOFMHOMA_00865	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
OOFMHOMA_00866	CDS	528	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
OOFMHOMA_00867	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
OOFMHOMA_00868	CDS	594				hypothetical protein
OOFMHOMA_00869	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
OOFMHOMA_00870	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
OOFMHOMA_00871	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
OOFMHOMA_00872	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
OOFMHOMA_00873	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
OOFMHOMA_00874	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
OOFMHOMA_00875	CDS	1506				hypothetical protein
OOFMHOMA_00876	CDS	711				hypothetical protein
OOFMHOMA_00877	CDS	768				hypothetical protein
OOFMHOMA_00878	CDS	606				hypothetical protein
OOFMHOMA_00879	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
OOFMHOMA_00880	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
OOFMHOMA_00881	CDS	831	glpG_1	3.4.21.105	COG0705	Rhomboid protease GlpG
OOFMHOMA_00882	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
OOFMHOMA_00883	CDS	1599	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
OOFMHOMA_00884	CDS	1227	rtcB_2	6.5.1.-	COG1690	RNA-splicing ligase RtcB
OOFMHOMA_00885	CDS	1017	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
OOFMHOMA_00886	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
OOFMHOMA_00887	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
OOFMHOMA_00888	CDS	2085	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
OOFMHOMA_00889	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
OOFMHOMA_00890	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
OOFMHOMA_00891	CDS	684	prs_1			Putative ribose-phosphate pyrophosphokinase
OOFMHOMA_00892	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
OOFMHOMA_00893	CDS	879				ISNCY family transposase ISVsa17
OOFMHOMA_00894	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
OOFMHOMA_00895	CDS	2322	feoB		COG0370	Fe(2+) transporter FeoB
OOFMHOMA_00896	CDS	228	feoA		COG1918	Fe(2+) transport protein A
OOFMHOMA_00897	CDS	2322	yhgF		COG2183	Protein YhgF
OOFMHOMA_00898	CDS	477	greB		COG0782	Transcription elongation factor GreB
OOFMHOMA_00899	CDS	720	ompR			Transcriptional regulatory protein OmpR
OOFMHOMA_00900	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
OOFMHOMA_00901	CDS	297				hypothetical protein
OOFMHOMA_00902	CDS	318	higB-2_1		COG2026	Toxin HigB-2
OOFMHOMA_00903	CDS	1623	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
OOFMHOMA_00904	CDS	1725				hypothetical protein
OOFMHOMA_00905	CDS	879	hslO		COG1281	33 kDa chaperonin
OOFMHOMA_00906	CDS	402	hslR		COG1188	Heat shock protein 15
OOFMHOMA_00907	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
OOFMHOMA_00908	CDS	2136	yrfF			Putative membrane protein IgaA 
OOFMHOMA_00909	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
OOFMHOMA_00910	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
OOFMHOMA_00911	CDS	780				hypothetical protein
OOFMHOMA_00912	CDS	540				hypothetical protein
OOFMHOMA_00913	CDS	441				hypothetical protein
OOFMHOMA_00914	CDS	405				hypothetical protein
OOFMHOMA_00915	CDS	1209	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
OOFMHOMA_00916	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
OOFMHOMA_00917	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
OOFMHOMA_00918	CDS	1287	damX		COG3266	Cell division protein DamX
OOFMHOMA_00919	CDS	837	dam	2.1.1.72	COG0338	DNA adenine methylase
OOFMHOMA_00920	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
OOFMHOMA_00921	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
OOFMHOMA_00922	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
OOFMHOMA_00923	CDS	906				hypothetical protein
OOFMHOMA_00924	CDS	363				hypothetical protein
OOFMHOMA_00925	CDS	1164	yhfX		COG3457	putative protein YhfX
OOFMHOMA_00926	CDS	1227	deoB_2	5.4.2.7	COG1015	Phosphopentomutase
OOFMHOMA_00927	CDS	879	php_1		COG1735	Phosphotriesterase homology protein
OOFMHOMA_00928	CDS	354				hypothetical protein
OOFMHOMA_00929	CDS	1305				hypothetical protein
OOFMHOMA_00930	CDS	1086	yhfS			putative protein YhfS
OOFMHOMA_00931	CDS	732	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
OOFMHOMA_00932	CDS	786	frlD	2.7.1.218	COG0524	Fructoselysine 6-kinase
OOFMHOMA_00933	CDS	831	frlC	5.1.3.41	COG1082	Fructoselysine 3-epimerase
OOFMHOMA_00934	CDS	1023	frlB	3.5.-.-	COG2222	Fructoselysine 6-phosphate deglycase
OOFMHOMA_00935	CDS	1338	frlA		COG0531	putative fructoselysine/psicoselysine transporter FrlA
OOFMHOMA_00936	CDS	168				hypothetical protein
OOFMHOMA_00937	CDS	1374	cysG		COG0007	Siroheme synthase
OOFMHOMA_00938	CDS	807	nirC		COG2116	Nitrite transporter NirC
OOFMHOMA_00939	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
OOFMHOMA_00940	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
OOFMHOMA_00941	CDS	1182	tsgA		COG0477	Protein TsgA
OOFMHOMA_00942	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
OOFMHOMA_00943	CDS	168	yhfG			putative protein YhfG
OOFMHOMA_00944	CDS	603	fic_1	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
OOFMHOMA_00945	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
OOFMHOMA_00946	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
OOFMHOMA_00947	CDS	2091				hypothetical protein
OOFMHOMA_00948	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
OOFMHOMA_00949	CDS	405	yhfA		COG1765	Protein YhfA
OOFMHOMA_00950	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
OOFMHOMA_00951	CDS	219				hypothetical protein
OOFMHOMA_00952	CDS	1023				hypothetical protein
OOFMHOMA_00953	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
OOFMHOMA_00954	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
OOFMHOMA_00955	CDS	1806	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OOFMHOMA_00956	CDS	201				hypothetical protein
OOFMHOMA_00957	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
OOFMHOMA_00958	CDS	219	slyX		COG2900	Protein SlyX 
OOFMHOMA_00959	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
OOFMHOMA_00960	CDS	723	dauR		COG2964	Transcriptional regulator DauR
OOFMHOMA_00961	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
OOFMHOMA_00962	CDS	360	tusC		COG2923	Protein TusC
OOFMHOMA_00963	CDS	288	tusB		COG2168	Protein TusB
OOFMHOMA_00964	CDS	375	rpsL		COG0048	30S ribosomal protein S12
OOFMHOMA_00965	CDS	471	rpsG		COG0049	30S ribosomal protein S7
OOFMHOMA_00966	CDS	2115	fusA		COG0480	Elongation factor G
OOFMHOMA_00967	CDS	885	hcaR_1			Hca operon transcriptional activator HcaR
OOFMHOMA_00968	CDS	1257	xapB			Xanthosine permease
OOFMHOMA_00969	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
OOFMHOMA_00970	CDS	765				hypothetical protein
OOFMHOMA_00971	CDS	927	cynR_2			HTH-type transcriptional regulator CynR
OOFMHOMA_00972	CDS	999				hypothetical protein
OOFMHOMA_00973	CDS	219				hypothetical protein
OOFMHOMA_00974	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
OOFMHOMA_00975	CDS	987	zipA		COG3115	Cell division protein ZipA
OOFMHOMA_00976	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
OOFMHOMA_00977	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
OOFMHOMA_00978	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
OOFMHOMA_00979	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
OOFMHOMA_00980	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
OOFMHOMA_00981	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
OOFMHOMA_00982	CDS	369				hypothetical protein
OOFMHOMA_00983	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
OOFMHOMA_00984	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
OOFMHOMA_00985	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
OOFMHOMA_00986	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
OOFMHOMA_00987	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
OOFMHOMA_00988	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
OOFMHOMA_00989	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
OOFMHOMA_00990	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
OOFMHOMA_00991	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
OOFMHOMA_00992	CDS	1305	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
OOFMHOMA_00993	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
OOFMHOMA_00994	CDS	576	yfeY			putative protein YfeY
OOFMHOMA_00995	CDS	450	yfeZ			Inner membrane protein YfeZ
OOFMHOMA_00996	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
OOFMHOMA_00997	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
OOFMHOMA_00998	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
OOFMHOMA_00999	CDS	1053				hypothetical protein
OOFMHOMA_01000	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
OOFMHOMA_01001	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
OOFMHOMA_01002	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
OOFMHOMA_01003	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
OOFMHOMA_01004	CDS	1404				hypothetical protein
OOFMHOMA_01005	CDS	1227				hypothetical protein
OOFMHOMA_01006	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
OOFMHOMA_01007	CDS	837	ftsA_2			Cell division protein FtsA
OOFMHOMA_01008	CDS	1404	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
OOFMHOMA_01009	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
OOFMHOMA_01010	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
OOFMHOMA_01011	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
OOFMHOMA_01012	CDS	804				hypothetical protein
OOFMHOMA_01013	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
OOFMHOMA_01014	CDS	480	pduV_1		COG4917	Propanediol utilization protein PduV
OOFMHOMA_01015	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
OOFMHOMA_01016	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
OOFMHOMA_01017	CDS	951	tal_2	2.2.1.2		Transaldolase
OOFMHOMA_01018	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
OOFMHOMA_01019	CDS	1044				hypothetical protein
OOFMHOMA_01020	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
OOFMHOMA_01021	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
OOFMHOMA_01022	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
OOFMHOMA_01023	CDS	3114	acrB_2		COG0841	Multidrug efflux pump subunit AcrB
OOFMHOMA_01024	CDS	357	yffB		COG1393	Protein YffB
OOFMHOMA_01025	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
OOFMHOMA_01026	CDS	201				hypothetical protein
OOFMHOMA_01027	CDS	699				hypothetical protein
OOFMHOMA_01028	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
OOFMHOMA_01029	CDS	864			COG2321	putative protein
OOFMHOMA_01030	CDS	399	vapC_1	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
OOFMHOMA_01031	CDS	267	vapB		COG4456	Antitoxin VapB
OOFMHOMA_01032	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
OOFMHOMA_01033	CDS	231				hypothetical protein
OOFMHOMA_01034	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
OOFMHOMA_01035	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
OOFMHOMA_01036	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
OOFMHOMA_01037	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
OOFMHOMA_01038	CDS	618	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
OOFMHOMA_01039	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
OOFMHOMA_01040	CDS	759	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
OOFMHOMA_01041	CDS	456				hypothetical protein
OOFMHOMA_01042	CDS	987	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
OOFMHOMA_01043	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
OOFMHOMA_01044	CDS	1566	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
OOFMHOMA_01045	CDS	1716	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
OOFMHOMA_01046	CDS	540	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
OOFMHOMA_01047	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
OOFMHOMA_01048	CDS	414				hypothetical protein
OOFMHOMA_01049	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
OOFMHOMA_01050	CDS	732	focB		COG2116	putative formate transporter 2
OOFMHOMA_01051	CDS	1062	yhhT_2		COG0628	Putative transport protein YhhT
OOFMHOMA_01052	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
OOFMHOMA_01053	CDS	360	yfgD		COG1393	putative protein YfgD
OOFMHOMA_01054	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
OOFMHOMA_01055	CDS	1290	uraA		COG2233	Uracil permease
OOFMHOMA_01056	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
OOFMHOMA_01057	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
OOFMHOMA_01058	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
OOFMHOMA_01059	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
OOFMHOMA_01060	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
OOFMHOMA_01061	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
OOFMHOMA_01062	CDS	153				hypothetical protein
OOFMHOMA_01063	CDS	174	yfgG			Protein YfgG
OOFMHOMA_01064	CDS	516				hypothetical protein
OOFMHOMA_01065	CDS	540				hypothetical protein
OOFMHOMA_01066	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
OOFMHOMA_01067	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
OOFMHOMA_01068	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
OOFMHOMA_01069	CDS	216	yfgJ			putative protein YfgJ
OOFMHOMA_01070	CDS	1473	der		COG1160	GTPase Der
OOFMHOMA_01071	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
OOFMHOMA_01072	CDS	621				hypothetical protein
OOFMHOMA_01073	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
OOFMHOMA_01074	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
OOFMHOMA_01075	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
OOFMHOMA_01076	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
OOFMHOMA_01077	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
OOFMHOMA_01078	CDS	2313	pbpC		COG4953	Penicillin-binding protein 1C
OOFMHOMA_01079	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
OOFMHOMA_01080	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
OOFMHOMA_01081	CDS	777				hypothetical protein
